# field phot_id z_best_s use_phot use_zgrism z_best z_best_l95 z_best_l68 z_best_u68 z_best_u95 sfr sfr_IR sfr_UV L_IR L_UV flag z_sfr z_type f24tot ef24tot L_1600 L_2800 beta
# Author: I. Momcheva (Sat Oct  3 21:18:14 2015)
cosmos 5712 1 1 1 0.7484 -1.0 -1.0 -1.0 -1.0 23.253 19.7 3.5529 180730000000.0 14816000000.0 0.0 0.7484 1.0 592.3 21.65 8886500000.0 9877500000.0 -0.45
cosmos 6159 2 1 1 2.0117 1.6859 1.8366 2.0657 2.1414 299.36 296.98 2.3876 2724600000000.0 9956700000.0 0.0 2.345 2.0 538.7 25.25 1239700000.0 6637800000.0 2.04
cosmos 6705 2 1 1 0.9223 0.9158 0.9188 0.9241 0.9266 4.7465 2.7235 2.023 24986000000.0 8436200000.0 0.0 0.9287 2.0 55.1 24.12 739870000.0 5624200000.0 2.81
cosmos 7136 2 1 1 2.1629 1.9063 1.9583 2.1583 2.1849 1215.4 1211.2 4.1572 11112000000000.0 17336000000.0 0.0 2.7288 2.0 940.3 166.7 2049300000.0 11557000000.0 2.03
cosmos 7216 2 1 1 1.7649 1.6817 1.6995 1.7732 1.7868 6.72 5.4138 1.3062 49668000000.0 5447100000.0 1.0 1.7157 2.0 19.75 28.25 1817200000.0 3631400000.0 0.0
cosmos 7884 2 1 1 2.0771 2.0107 2.0468 2.0856 2.1025 17.863 10.708 7.1546 98241000000.0 29836000000.0 0.0 2.0524 2.0 29.96 20.61 14781000000.0 19891000000.0 -0.41
cosmos 7951 2 1 1 2.1065 2.0781 2.0981 2.1132 2.1215 -99.0 -99.0 3.3937 -99.0 14152000000.0 2.0 2.1378 2.0 -10.88 19.87 2966200000.0 9434900000.0 1.06
cosmos 8096 1 1 1 0.9806 -1.0 -1.0 -1.0 -1.0 29.795 26.414 3.3805 242330000000.0 14097000000.0 0.0 0.9806 1.0 445.2 26.87 3139900000.0 9398200000.0 1.09
cosmos 9111 2 1 1 1.22 1.2134 1.2164 1.2215 1.2232 31.405 26.001 5.404 238540000000.0 22536000000.0 0.0 1.2138 2.0 191.6 22.15 6653300000.0 15024000000.0 0.34
cosmos 9667 2 1 1 1.5068 1.499 1.5038 1.5247 1.5765 23.079 19.054 4.0248 174810000000.0 16784000000.0 0.0 1.5391 2.0 65.77 21.3 12448000000.0 11189000000.0 -1.32
cosmos 9681 1 1 1 0.7511 -1.0 -1.0 -1.0 -1.0 1.1422 0.43981 0.70238 4035000000.0 2929000000.0 1.0 0.7511 1.0 13.12 19.19 205080000.0 1952700000.0 3.1
cosmos 9871 2 1 1 1.7788 1.7084 1.7521 1.8351 1.8627 315.74 313.09 2.6516 2872400000000.0 11058000000.0 0.0 2.1654 2.0 741.3 34.31 1867500000.0 7371800000.0 1.63
cosmos 10128 2 1 1 1.7538 1.7302 1.7425 1.7825 1.8253 3.4328 1.4568 1.9761 13365000000.0 8240500000.0 1.0 1.8366 2.0 5.397 23.09 2376200000.0 5493700000.0 0.41
cosmos 10592 2 1 1 1.7774 1.7098 1.7337 1.7924 1.8052 10.542 8.4007 2.1409 77071000000.0 8927900000.0 0.0 1.757 2.0 31.49 20.12 823780000.0 5951900000.0 2.49
cosmos 10876 1 1 1 0.361 -1.0 -1.0 -1.0 -1.0 0.98661 0.063302 0.92331 580750000.0 3850300000.0 1.0 0.361 1.0 11.39 20.85 461560000.0 2566900000.0 1.58
cosmos 11314 2 1 1 1.8705 1.7017 1.7939 1.9523 2.0158 99.978 97.116 2.8618 890980000000.0 11934000000.0 0.0 2.3414 2.0 177.1 25.97 1909300000.0 7956100000.0 1.62
cosmos 11337 2 1 1 2.091 2.087 2.0886 2.0919 2.0935 156.29 141.4 14.894 1297200000000.0 62110000000.0 0.0 2.1888 2.0 323.1 122.4 32426000000.0 41407000000.0 -0.43
cosmos 11363 2 1 1 1.7251 1.7251 1.7251 1.7272 1.7295 172.58 155.6 16.982 1427500000000.0 70815000000.0 0.0 2.1158 2.0 396.6 104.0 28019000000.0 47210000000.0 0.05
cosmos 11494 2 1 1 2.0787 2.0578 2.067 2.0842 2.0921 8.1133 1.6202 6.4931 14864000000.0 27077000000.0 1.0 2.0527 2.0 4.531 19.16 2673500000.0 18051000000.0 2.49
cosmos 11590 1 1 1 0.7309 -1.0 -1.0 -1.0 -1.0 -99.0 -99.0 1.0716 -99.0 4468700000.0 2.0 0.7309 1.0 -3.801 24.25 948670000.0 2979100000.0 0.69
cosmos 11701 2 1 1 1.8306 1.7901 1.8069 1.8381 1.8685 1146.1 1142.2 3.8939 10479000000000.0 16238000000.0 0.0 2.7945 2.0 769.8 28.76 975110000.0 10825000000.0 3.02
cosmos 11783 2 1 1 1.2682 1.2591 1.2637 1.2706 1.2744 9.6042 7.4906 2.1136 68721000000.0 8814000000.0 0.0 1.2477 2.0 48.39 23.57 3015300000.0 5876000000.0 0.03
cosmos 11871 2 1 1 1.6065 1.6019 1.6038 1.6075 1.6091 381.01 372.14 8.869 3414100000000.0 36985000000.0 0.0 1.4974 2.0 1324.0 15.73 32014000000.0 24657000000.0 -1.53
cosmos 11973 2 1 1 1.5793 1.5429 1.5626 1.5878 1.5986 21.283 19.985 1.2984 183340000000.0 5414500000.0 0.0 1.6075 2.0 67.65 28.94 592210000.0 3609600000.0 2.43
cosmos 12020 2 1 1 2.1346 2.0914 2.1062 2.1357 2.1406 190.45 185.99 4.4589 1706300000000.0 18594000000.0 0.0 2.1548 2.0 447.5 24.97 5721100000.0 12396000000.0 0.28
cosmos 12129 2 1 1 0.7437 0.737 0.7401 0.7464 0.7495 7.6374 6.9876 0.64981 64107000000.0 2709800000.0 0.0 0.7809 2.0 192.3 20.43 339340000.0 1806500000.0 2.34
cosmos 12699 2 1 1 1.0097 0.9522 0.9702 1.0117 1.0164 22.203 20.454 1.7498 187650000000.0 7296800000.0 0.0 1.0071 2.0 312.2 27.63 1654900000.0 4864600000.0 1.1
cosmos 12767 2 1 1 1.1001 1.0967 1.0983 1.102 1.1041 65.019 61.367 3.6519 563000000000.0 15229000000.0 0.0 1.1172 2.0 631.3 25.15 4626200000.0 10152000000.0 0.51
cosmos 13083 2 1 1 2.0132 1.9942 2.0038 2.0216 2.0311 11.308 8.4801 2.8281 77799000000.0 11793000000.0 0.0 2.0125 2.0 25.14 19.74 1035300000.0 7862300000.0 2.66
cosmos 13174 2 1 1 1.736 1.6265 1.7385 1.8378 1.8737 185.51 183.39 2.1237 1682500000000.0 8856300000.0 0.0 2.0895 2.0 486.2 18.23 4054000000.0 5904200000.0 -0.33
cosmos 13206 2 1 1 0.6282 0.6163 0.6217 0.6338 0.6415 19.449 18.175 1.274 166750000000.0 5312600000.0 0.0 1.2168 2.0 132.4 15.88 309810000.0 3541800000.0 3.56
cosmos 13524 1 1 1 0.6043 -1.0 -1.0 -1.0 -1.0 1.4916 0.71566 0.77593 6565700000.0 3235800000.0 0.0 0.6043 1.0 32.97 30.68 289430000.0 2157200000.0 2.98
cosmos 13837 1 1 1 0.8355 -1.0 -1.0 -1.0 -1.0 2.6697 1.4571 1.2127 13368000000.0 5057000000.0 0.0 0.8355 1.0 36.45 25.95 1256600000.0 3371400000.0 0.56
cosmos 13890 2 1 1 1.5219 1.5135 1.5179 1.5254 1.5307 178.65 175.36 3.2913 1608800000000.0 13725000000.0 0.0 1.4998 2.0 622.7 26.56 3603300000.0 9150200000.0 0.23
cosmos 13901 1 1 1 0.6841 -1.0 -1.0 -1.0 -1.0 5.6582 3.7996 1.8586 34859000000.0 7750500000.0 0.0 0.6841 1.0 138.9 20.44 3629600000.0 5167000000.0 -0.35
cosmos 13942 1 1 1 0.4757 -1.0 -1.0 -1.0 -1.0 6.0521 4.3398 1.7123 39815000000.0 7140700000.0 0.0 0.4757 1.0 364.5 18.9 4056200000.0 4760400000.0 -0.53
cosmos 15066 2 1 1 1.22 1.2134 1.2164 1.2211 1.2238 119.29 116.85 2.4421 1072000000000.0 10184000000.0 0.0 1.4391 2.0 439.9 24.45 3825600000.0 6789400000.0 -0.1
cosmos 15387 2 1 1 0.6862 0.6728 0.6793 0.6914 0.697 30.634 24.211 6.4225 222120000000.0 26783000000.0 0.0 0.7159 2.0 801.5 20.87 21175000000.0 17855000000.0 -1.19
cosmos 16313 2 1 1 0.5365 0.5312 0.5335 0.5385 0.5409 2.081 1.0563 1.0247 9691200000.0 4273000000.0 0.0 0.5203 2.0 69.87 17.2 520860000.0 2848700000.0 2.24
cosmos 17089 2 1 1 1.532 1.5122 1.5223 1.5359 1.5425 5.3176 2.3889 2.9287 21916000000.0 12213000000.0 1.0 1.5237 2.0 8.332 23.15 1280500000.0 8142100000.0 2.5
cosmos 17263 2 1 1 1.2144 1.2021 1.2073 1.2183 1.223 -99.0 -99.0 1.9976 -99.0 8330300000.0 2.0 1.2168 2.0 -3.527 19.84 590400000.0 5553600000.0 3.0
cosmos 17406 2 1 1 1.736 1.7253 1.7303 1.7452 1.7599 67.016 58.107 8.9087 533090000000.0 37151000000.0 0.0 1.7876 2.0 219.1 24.75 17808000000.0 24767000000.0 -0.42
cosmos 18252 2 1 1 2.3636 2.3528 2.3596 2.9476 3.038 863.94 860.05 3.8879 7890400000000.0 16213000000.0 0.0 2.8186 2.0 554.6 20.08 2643400000.0 10809000000.0 1.61
cosmos 18575 1 1 1 0.9269 -1.0 -1.0 -1.0 -1.0 65.54 64.126 1.4135 588320000000.0 5894300000.0 0.0 0.9269 1.0 1305.0 23.13 1570500000.0 3929500000.0 0.5
cosmos 18688 2 1 1 1.8363 1.6802 1.7582 1.9447 2.0103 82.287 76.694 5.5931 703610000000.0 23324000000.0 0.0 1.9094 2.0 263.6 20.46 14725000000.0 15549000000.0 -0.76
cosmos 19090 2 1 1 2.4418 2.3901 2.4189 2.4514 2.4703 74.121 70.997 3.1238 651350000000.0 13027000000.0 0.0 2.4545 2.0 106.3 20.83 3858400000.0 8684400000.0 0.32
cosmos 19153 2 1 1 2.2301 2.1428 2.176 2.2347 2.2603 16.277 15.171 1.1059 139180000000.0 4611800000.0 0.0 2.2687 2.0 30.66 20.09 1438000000.0 3074500000.0 0.36
cosmos 19736 2 1 1 2.3804 2.3539 2.3669 2.3921 2.404 291.28 284.09 7.1897 2606300000000.0 29982000000.0 0.0 2.5412 2.0 350.0 23.5 11039000000.0 19988000000.0 -0.0
cosmos 20565 2 1 1 0.8889 0.8788 0.8835 0.8932 0.8983 15.02 12.737 2.283 116850000000.0 9520600000.0 0.0 0.8878 2.0 290.9 18.85 3330300000.0 6347100000.0 0.27
cosmos 20612 2 1 1 0.905 0.8919 0.8973 0.9075 0.9117 15.526 13.753 1.7732 126170000000.0 7394300000.0 0.0 0.9119 2.0 293.8 23.22 1939800000.0 4929600000.0 0.5
cosmos 20839 2 1 1 0.8908 0.88 0.8853 0.8946 0.8979 15.554 12.814 2.74 117560000000.0 11426000000.0 0.0 0.8735 2.0 302.0 17.8 7143800000.0 7617600000.0 -0.65
cosmos 20983 2 1 1 1.9359 1.915 1.9286 1.9561 1.9863 13.212 9.5081 3.7038 87231000000.0 15446000000.0 0.0 1.967 2.0 30.15 20.95 1888000000.0 10297000000.0 2.1
cosmos 21723 2 1 1 1.9256 1.7116 1.8043 1.9405 1.9829 109.63 105.67 3.9571 969480000000.0 16502000000.0 0.0 1.9785 2.0 329.3 101.5 9019400000.0 11001000000.0 -0.5
cosmos 22995 2 1 1 2.4281 2.297 2.4179 2.4508 2.4649 202.99 187.66 15.33 1721700000000.0 63928000000.0 0.0 2.4697 2.0 272.5 34.04 34715000000.0 42619000000.0 -0.44
cosmos 23673 2 1 1 2.2317 2.0941 2.1254 2.277 2.3941 2.1144 0.95433 1.16 8755400000.0 4837500000.0 1.0 2.3299 2.0 1.77 13.41 2391500000.0 3225000000.0 -0.42
cosmos 23823 1 1 1 0.6554 -1.0 -1.0 -1.0 -1.0 4.8274 4.3728 0.45466 40117000000.0 1896000000.0 0.0 0.6554 1.0 173.6 16.53 332580000.0 1264000000.0 1.56
cosmos 24028 2 1 1 0.8823 0.8757 0.8786 0.8848 0.8879 2.1362 0.70195 1.4343 6439900000.0 5981100000.0 1.0 0.9016 2.0 15.43 20.61 354630000.0 3987400000.0 3.28
cosmos 24462 2 1 1 1.7034 1.6253 1.6579 1.717 1.743 -99.0 -99.0 7.1862 -99.0 29968000000.0 2.0 1.8582 2.0 -4.964 134.0 17653000000.0 19978000000.0 -0.59
cosmos 25515 2 1 1 2.4367 2.152 2.2291 2.4597 2.4822 1187.1 1183.6 3.4606 10859000000000.0 14431000000.0 0.0 2.3089 2.0 2260.0 96.57 5169800000.0 9620700000.0 0.12
cosmos 25534 2 1 1 1.5269 1.5108 1.5181 1.5344 1.5461 3.2251 0.66531 2.5598 6103700000.0 10675000000.0 1.0 1.5462 2.0 2.287 17.44 725050000.0 7116400000.0 3.02
cosmos 26039 2 1 1 2.1979 2.0062 2.072 2.1993 2.202 41.585 38.15 3.4348 350000000000.0 14324000000.0 0.0 2.2212 2.0 82.86 17.42 1993200000.0 9549000000.0 1.91
cosmos 26338 2 1 1 1.6222 1.5025 1.5394 1.6285 1.6399 189.18 187.01 2.174 1715700000000.0 9066100000.0 0.0 2.28 2.0 371.8 28.18 992620000.0 6044100000.0 2.27
cosmos 26720 2 1 1 0.7289 0.7224 0.725 0.7303 0.7327 1.7834 0.29289 1.4905 2687100000.0 6215700000.0 1.0 0.7285 2.0 9.337 18.25 728770000.0 4143800000.0 2.31
cosmos 27723 2 1 1 0.9242 0.9193 0.921 0.9255 0.9277 17.564 13.836 3.7278 126940000000.0 15546000000.0 0.0 0.9684 2.0 243.9 23.46 8138100000.0 10364000000.0 -0.51
cosmos 28546 2 1 1 2.0496 2.0112 2.032 2.0574 2.0674 5.7229 3.8589 1.864 35403000000.0 7773000000.0 1.0 2.0243 2.0 11.25 20.55 1066700000.0 5182000000.0 2.11
cosmos 28565 2 1 1 2.3619 2.337 2.346 2.3623 2.3679 49.219 46.379 2.8399 425500000000.0 11843000000.0 0.0 2.0661 2.0 127.2 13.43 4240100000.0 7895200000.0 -0.02
