# id z use_grism1 OIII_flux OIII_error OIII_scale_to_photom OIII_EQW_obs OIII_EQW_obs_err HeI_flux HeI_error HeI_scale_to_photom HeI_EQW_obs HeI_EQW_obs_err SII_flux SII_error SII_scale_to_photom SII_EQW_obs SII_EQW_obs_err Ha_flux Ha_error Ha_scale_to_photom Ha_EQW_obs Ha_EQW_obs_err Hb_flux Hb_error Hb_scale_to_photom Hb_EQW_obs Hb_EQW_obs_err SIII_flux SIII_error SIII_scale_to_photom SIII_EQW_obs SIII_EQW_obs_err OII_flux OII_error OII_scale_to_photom OII_EQW_obs OII_EQW_obs_err OIIIx_flux OIIIx_error OIIIx_scale_to_photom OIIIx_EQW_obs OIIIx_EQW_obs_err HeII_flux HeII_error HeII_scale_to_photom HeII_EQW_obs HeII_EQW_obs_err Hg_flux Hg_error Hg_scale_to_photom Hg_EQW_obs Hg_EQW_obs_err Hd_flux Hd_error Hd_scale_to_photom Hd_EQW_obs Hd_EQW_obs_err MgII_flux MgII_error MgII_scale_to_photom MgII_EQW_obs MgII_EQW_obs_err uvj_flag sn_F160W sfr z_sfr
2633.0 2.11117 1.0 5.41 1.75 0.761 138.562020076 55.6414467869 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.4 2.44 0.755 66.3062449175 47.017681451 -99.0 -99.0 -99.0 -99.0 -99.0 5.15 2.77 0.703 101.145228322 59.4920881855 0.0 0.0 0.734 0.0 0.0096426746208 0.0 0.0 0.748 0.0 0.0128568994944 0.02 0.11 0.733 0.475705281293 8.13198893021 0.11 0.35 0.722 2.01853322062 9.84838501271 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 16.1326137563 -99.0 2.1112
2672.0 2.31183 1.0 13.37 3.03 1.177 93.6732863704 25.532711522 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.29 1.11 1.171 2.31292065112 8.4605791964 -99.0 -99.0 -99.0 -99.0 -99.0 9.24 3.53 1.127 71.8817089041 28.9356639683 0.0 0.01 1.153 0.0120779146273 0.437824405238 0.0 0.0 1.165 0.0 0.0150973932841 4.68 3.01 1.152 32.3899475517 17.4284308071 0.95 1.89 1.143 6.0480157496 10.0367470553 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 44.3456318969 77.077 2.3118
2712.0 1.91976 1.0 5.84 1.15 1.129 164.075129463 38.530564156 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.56 1.31 1.078 47.3155327835 31.1429706551 -99.0 -99.0 -99.0 -99.0 -99.0 2.38 4.91 0.711 41.8082308135 55.1586431762 0.0 0.0 0.91 0.0 0.184946707949 0.89 1.68 1.017 19.9845192756 21.8100117818 0.0 0.01 0.902 0.0719237197578 0.654163355892 0.07 0.17 0.825 1.22270323588 4.19897525824 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 36.2550738175 -99.0 1.9198
2816.0 1.91392 1.0 3.95 1.86 1.038 12.9241708763 5.49431693389 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.06 0.23 1.036 0.202476389194 0.998654733143 -99.0 -99.0 -99.0 -99.0 -99.0 0.0 0.0 1.02 0.0 0.00686360641335 0.0 0.0 1.03 0.0 0.0205908192401 0.01 0.03 1.034 0.0171590160334 0.411816384801 0.65 1.61 1.029 2.62532945311 4.10443663519 0.0 0.0 1.026 0.0 0.0720678673402 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 182.822649847 -99.0 1.9139
2929.0 1.14792 1.0 42.46 14.87 1.063 207.177176059 65.6355916421 2.91 1.45 1.023 16.7929904279 8.15672836977 5.24 1.12 0.991 36.1465976386 7.66788334761 31.55 0.9 0.996 238.910201497 7.74237401765 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 120.157842579 13.084 1.1479
2935.0 1.66979 1.0 4.41 1.43 0.96 28.5116057817 9.26664644036 0.36 1.46 0.961 2.30729757771 4.54342850936 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.2 1.87 0.96 8.25907655658 7.88826087445 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.0 0.0 0.96 0.0 0.161061356886 0.1 0.39 0.96 0.618026136887 2.56574487132 0.75 1.51 0.96 5.74577026658 8.44635720412 0.0 0.0 0.96 0.0 0.04494735541 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 71.1228903089 3.729 1.6698
2941.0 1.75385 1.0 21.13 2.64 2.301 675.298218857 159.424079017 0.0 0.0 3.756 0.0 0.0290502387566 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 6.13 2.6 2.102 204.284910217 97.0386912867 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.59 1.54 1.509 9.93518165477 34.7586106723 0.72 1.75 1.878 15.770648365 35.4158723242 3.57 2.84 1.485 67.7124752619 59.8725420775 0.18 0.45 1.249 2.54552717105 9.42680247653 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 27.8210040719 12.875 1.7538
3093.0 1.8691 1.0 4.77 1.3 0.919 102.551322714 30.7064933254 0.48 1.01 1.155 14.3389913213 30.2394479105 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.17 0.8 0.881 26.9736154195 18.5563417099 -99.0 -99.0 -99.0 -99.0 -99.0 0.49 2.27 0.603 9.27817085497 54.2016660277 1.3 1.32 0.755 21.6130493883 19.7169844202 0.53 0.98 0.836 9.45592694573 12.9030009411 0.0 0.0 0.749 0.0139416541773 0.46007458785 0.58 1.25 0.691 9.13178348611 15.5588860618 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 24.7993039383 6.0096 1.8691
3146.0 2.10651 1.0 23.23 2.86 1.208 199.233223135 40.0288426562 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.74 1.58 1.187 6.88875941169 14.5951566227 -99.0 -99.0 -99.0 -99.0 -99.0 0.0 0.0 1.013 0.0 0.00643809290812 0.38 1.25 1.113 3.27055119732 8.8427206093 0.07 0.37 1.161 0.589085501093 6.13228349498 0.0 0.01 1.109 0.0289714180865 0.611618826271 1.38 2.27 1.072 12.3160717332 15.1617087986 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 32.8575660362 422.46 2.1065
3176.0 1.7871 1.0 6.58 2.1 1.26 97.3018549747 30.440242546 0.0 0.0 1.394 0.0 0.16145814646 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.45 1.5 1.237 41.0247210362 22.9629363855 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.0 0.0 1.156 0.0 0.0215277528614 0.01 0.07 1.209 0.104050805497 5.46446126798 0.28 0.52 1.152 3.84270388576 7.8181622475 1.65 3.18 1.112 20.7958092641 24.8107351728 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 29.2109419001 50.861 1.7871
3179.0 2.17561 1.0 12.88 1.81 1.907 380.953580572 95.0620510705 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.65 1.51 1.795 20.1882472974 31.5057579489 -99.0 -99.0 -99.0 -99.0 -99.0 3.26 2.06 1.043 62.2809475975 39.2208111198 0.0 0.01 1.439 0.0157450064712 0.932104383095 0.0 0.0 1.665 0.0 0.0724270297675 0.28 0.73 1.423 6.2854065833 15.2758052784 0.3 1.24 1.268 5.76582136975 16.1354826317 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 30.3597826173 -99.0 2.1756
3245.0 1.80107 1.0 5.5 1.66 1.389 202.490476853 67.7241197114 0.24 0.66 1.133 7.78274016715 25.1296825856 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.02 0.13 1.442 1.0246084532 12.9986041049 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.03 1.88 1.655 39.3956595158 52.0194068695 0.05 0.17 1.511 1.85643343437 8.02193447504 0.0 0.0 1.666 0.0 0.0142802571874 0.0 0.0 1.79 0.0 0.0678312216403 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 12.7473667223 9.2399 1.8011
3287.0 1.87054 1.0 13.62 1.41 0.94 217.98337595 28.0678896654 2.16 3.51 1.084 52.2793620712 66.4195586893 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.53 0.89 0.915 9.45466706613 13.732607802 -99.0 -99.0 -99.0 -99.0 -99.0 7.2 11.91 0.722 91.5611696754 139.262995813 0.0 0.01 0.831 0.0418039811325 0.198568910379 0.0 0.0 0.886 0.0104509952831 0.407588816042 0.14 0.35 0.827 1.95781978304 6.01628961798 0.54 0.92 0.786 6.47264974534 10.3987403067 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 29.0201603703 9.9763 1.8705
3350.0 2.08484 1.0 6.32 1.51 1.155 147.628402121 46.9230170771 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.04 3.06 1.161 27.7777777778 29.9107895385 -99.0 -99.0 -99.0 -99.0 -99.0 0.56 1.87 1.22 12.8337288158 24.3156857406 0.0 0.0 1.185 0.0 0.022691614476 0.0 0.0 1.169 0.0 0.022691614476 0.0 0.0 1.186 0.0 0.087524798693 0.0 0.0 1.199 0.00324165921085 1.08271417642 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 22.1688414161 13.544 2.0848
3415.0 1.33614 1.0 8.81 3.2 1.083 63.6520071571 24.1766332497 0.0 0.0 1.074 0.0 0.0470862191478 2.73 2.11 1.066 27.1987124059 17.6145265267 8.82 1.63 1.067 95.3581549051 19.1384078009 0.0 0.0 1.085 0.00428056537708 0.873235336923 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.0 0.0 1.087 0.0 0.128416961312 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 71.6716089787 15.344 1.3361
3480.0 1.64852 1.0 12.1 1.19 0.809 272.412517179 37.1112923444 0.0 0.0 0.682 0.0 0.00377569359491 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.45 1.47 0.835 37.1377221996 27.9892166191 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.0 0.0 0.938 0.0 0.00755138718983 0.0 0.01 0.869 0.0264298551644 2.0766314772 0.09 0.39 0.943 2.11816410675 12.5504055095 2.39 6.17 1.002 58.0701674898 69.4538836784 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 24.2227219827 -99.0 1.6485
3527.0 1.75247 1.0 7.59 1.48 2.739 502.003654899 181.843943803 0.0 0.0 10.155 0.018165502258 1.16259214451 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.72 1.49 2.151 41.5408705635 60.1496110766 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 1.63 0.888 39.589895621 29.420847457 1.04 1.15 1.593 37.0067611999 36.4690623331 0.1 0.26 0.851 1.81291712535 9.43879497324 7.9 3.12 0.535 88.6440179185 45.3483598368 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 20.8174223316 -99.0 1.7525
3583.0 1.1968 1.0 13.33 5.12 0.81 29.4610342316 11.1025127458 0.01 0.04 0.823 0.0273124544792 0.154770575382 4.23 1.46 0.834 9.46376547706 3.19100509832 3.19 1.55 0.832 7.33794610342 3.23197378004 59.07 19.37 0.808 132.89785142 43.3676256373 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 139.527841382 2.8945 1.1968
3626.0 2.32676 1.0 11.86 1.22 1.13 182.982842165 29.3318423932 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.15 0.87 1.129 36.834637906 14.8522887133 -99.0 -99.0 -99.0 -99.0 -99.0 3.71 1.17 1.12 46.3754523921 14.5817552213 0.08 0.15 1.125 1.04005098053 2.64221043899 0.48 0.6 1.127 6.31545407544 7.06994192548 0.0 0.01 1.125 0.030059276894 0.736452283904 0.15 0.33 1.123 1.85465738436 4.29547066816 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 70.6441097023 27.83 2.3268
3713.0 1.80387 1.0 40.72 1.15 0.729 840.766511999 67.6636220652 0.0 0.0 1.079 0.0142659966404 0.181891457165 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 4.75 0.87 0.678 100.329187872 19.5872133872 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.0 0.0 0.52 0.00713299832018 0.149792964724 0.89 0.8 0.619 13.6775242789 10.6388669945 1.01 2.52 0.513 12.9820569427 14.9971289682 0.2 0.35 0.447 1.97940703385 3.38817420208 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 33.2951524406 -99.0 1.8039
3809.0 1.15653 1.0 43.62 9.94 0.764 352.060949767 84.942013327 0.0 0.0 0.731 0.0 0.00463707901119 0.0 0.0 0.704 0.0 0.097378659235 7.26 1.37 0.709 93.9193982926 18.4880340176 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 43.8311621291 -99.0 1.1565
3846.0 1.74012 1.0 14.66 2.48 0.878 103.393282046 19.0612089981 0.74 1.9 0.745 5.66033604368 10.6820139264 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 4.17 2.92 0.905 33.7284498489 21.3749762784 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.0 0.0 1.012 0.0 0.0 0.02 0.04 0.94 0.113133731369 0.412390698218 0.51 1.47 1.017 3.9377837467 13.7950162767 8.73 5.29 1.078 67.1539932558 35.684568559 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 33.3300533387 17.308 1.7401
3859.0 1.92853 1.0 9.83 1.31 1.315 177.170799002 27.4779496881 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.71 1.44 1.292 55.7754231645 25.5247513258 -99.0 -99.0 -99.0 -99.0 -99.0 4.04 6.84 1.109 69.8131827231 77.0147480135 0.18 0.49 1.214 2.68052572451 7.62840059689 0.71 1.2 1.265 11.0533270958 12.2757834135 0.65 0.88 1.211 10.8860076557 13.3411643384 0.05 0.15 1.172 0.669277760515 3.53419633741 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 39.7871165126 22.915 1.9285
3938.0 2.16452 1.0 2.99 1.36 0.897 72.655568617 35.8632588829 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.45 1.34 0.886 12.4568654962 22.4331020186 -99.0 -99.0 -99.0 -99.0 -99.0 1.52 1.98 0.793 33.2309481375 31.4550073945 0.0 0.0 0.847 0.0 0.0632007381846 0.59 0.82 0.872 12.7539089657 13.8504417732 0.82 1.85 0.845 17.6014055844 20.7045618293 0.0 0.01 0.825 0.0600407012754 0.755248821306 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 32.2203550958 -99.0 2.1645
3955.0 1.57925 1.0 7.79 2.95 0.844 40.0504022487 15.1361829989 0.0 0.0 0.845 0.0 0.00775419211011 -99.0 -99.0 -99.0 -99.0 -99.0 0.0 0.0 0.846 0.0 0.00387709605505 0.0 0.02 0.843 0.0232625763303 0.333430260735 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.14 0.78 0.842 0.841329843947 8.33575651837 1.47 4.26 0.843 7.06406901231 10.4410196763 4.3 6.06 0.842 28.2330134729 26.5697392653 1.29 5.52 0.842 8.8591644858 72.7886013376 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 58.7881060021 14.028 1.5792
3974.0 2.1003 1.0 5.42 1.32 0.989 97.1260845725 26.9102990033 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.62 1.07 0.902 45.2375576557 18.3498371125 -99.0 -99.0 -99.0 -99.0 -99.0 4.76 4.78 0.396 54.9785504629 44.3666741928 0.01 0.04 0.645 0.0967648292101 1.47727639261 0.0 0.0 0.805 0.0 0.183853175499 1.36 0.82 0.635 17.0370609296 10.2990033223 0.46 0.61 0.532 4.85759442635 4.53504499565 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 42.6227823304 85.909 2.1003
4154.0 1.69393 1.0 10.53 1.36 1.003 175.464841328 25.282765328 0.61 0.78 1.023 13.5898111681 15.0597825482 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.17 1.33 1.0 59.4336155728 24.4772507081 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 0.0 0.01 0.987 0.0222722936379 0.185602446983 0.36 0.77 0.995 5.34906252204 9.35807537687 0.41 1.12 0.986 6.48866154651 12.0307506134 3.04 2.76 0.979 43.5423340621 31.2146195335 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 31.9534339549 13.028 1.6939
4156.0 2.19153 1.0 23.53 1.08 1.155 775.092197159 117.501637146 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.16 1.02 1.123 74.0209241336 33.4667071906 -99.0 -99.0 -99.0 -99.0 -99.0 1.94 1.59 0.877 41.2122085645 29.3620927894 0.0 0.0 1.015 0.0 0.100265389954 0.0 0.0 1.085 0.0125331737443 1.31284994971 0.77 1.06 1.01 19.5454844542 20.9836661413 0.0 0.03 0.959 0.0814656293377 1.53218049024 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 36.2482832753 12.116 2.1915
