# id zgris zbest use_grism1 s0 s1 Ha_flux Ha_error Ha_scale_to_photom Ha_EQW_obs Ha_EQW_obs_err OIII_flux OIII_error OIII_scale_to_photom OIII_EQW_obs OIII_EQW_obs_err OIIIx_flux OIIIx_error OIIIx_scale_to_photom OIIIx_EQW_obs OIIIx_EQW_obs_err OII_flux OII_error OII_scale_to_photom OII_EQW_obs OII_EQW_obs_err uvj_flag sn_F160W sfr z_sfr RAdeg DEdeg z_bez Re n logM sigmaA e_sigmaA sigmaRe e_sigmaRe Exp
10027.0 0.66363 0.668 1.0 0.051 -0.394 0.18 0.58 0.861 0.486887108311 2.18197555947 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 233.884392915 0.53413 0.6636 150.135 2.283 0.668 1.4 2.4 9.92 108 8 115 8 49200
9681.0 0.74281 0.751 1.0 0.049 -0.21 0.0 0.0 0.913 0.0 0.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 269.411218261 1.1352 0.7428 150.098 2.281 0.75 6.5 4.0 11.33 214 6 206 5 49200
10333.0 0.36274 0.361 0.0 0.017 0.302 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 836.0668014 0.74305 0.3627 150.099 2.29 0.361 1.7 3.9 10.79 181 3 186 3 49200
11580.0 0.52501 0.53 1.0 0.071 0.126 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 476.768826169 0.5106 0.525 150.089 2.3 0.533 2.3 5.1 10.36 155 7 158 8 49200
12053.0 0.52959 0.533 1.0 0.035 -0.365 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 444.016198061 1.1841 0.5296 150.088 2.304 0.533 1.6 4.9 10.53 243 6 255 6 49200
12381.0 0.68961 0.69 1.0 0.104 -0.318 46.51 5.66 0.837 61.8130811252 7.78877965921 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 254.450988436 28.479 0.6896 150.098 2.308 0.687 2.9 1.2 10.34 158 11 160 11 49200
12658.0 0.46302 0.461 1.0 -0.023 -0.193 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 534.096924217 1.8908 0.463 150.138 2.31 0.461 1.9 1.3 10.36 157 4 161 4 49200
13692.0 0.67448 0.678 1.0 -0.009 -0.547 0.75 15.49 0.884 1.39147675696 10.4450336821 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 246.767177264 4.5784 0.6745 150.126 2.32 0.677 1.5 4.0 10.23 181 7 191 7 49200
14445.0 0.8908 0.885 1.0 0.056 -0.165 0.0 0.0 0.927 0.0 0.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 207.711160536 -99.0 0.8908 150.12 2.328 0.884 1.5 6.0 10.44 185 11 196 12 49200
14814.0 0.6628 0.667 1.0 -0.049 -0.293 0.04 0.33 0.976 0.036083714217 1.56964156844 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 346.555458434 7.0551 0.6628 150.094 2.334 0.668 2.8 5.2 10.79 177 5 180 5 49200
15698.0 1.03094 1.031 1.0 -0.166 -1.072 14.63 1.06 1.121 63.7241868297 4.83519946429 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 157.851719432 3.4546 1.0309 150.128 2.341 1.03 1.3 4.5 10.5 158 15 171 16 49200
17246.0 0.53265 0.53 0.0 -0.027 -0.917 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 464.416536129 0.53665 0.5326 150.096 2.357 0.53 1.0 2.4 10.19 202 6 217 7 49200
17516.0 0.69215 0.691 1.0 -0.004 -0.622 5.05 3.52 0.87 11.9670242 6.8492745915 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 237.334434521 1.3113 0.6921 150.132 2.359 0.698 1.4 3.2 10.28 150 8 160 9 49200
19313.0 0.89364 0.894 1.0 -0.009 -0.189 2.51 5.1 0.987 6.66969434528 5.93037747407 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 268.303034504 6.1083 0.8936 150.14 2.376 0.902 1.2 3.6 10.54 201 12 217 12 49200
19764.0 0.53112 0.532 1.0 0.06 -0.26 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 567.590781064 4.1663 0.5311 150.09 2.384 0.531 3.4 3.5 10.93 251 5 249 4 49200
20565.0 0.88797 0.887 1.0 0.184 0.315 0.06 2.93 0.865 0.0582636376637 4.25324554945 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 239.484510839 15.033 0.888 150.119 2.391 0.891 5.5 3.0 11.08 212 10 207 10 49200
21739.0 0.44773 0.448 1.0 -0.056 -0.072 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 551.784105315 0.41 0.4477 150.08 2.403 0.442 1.0 3.2 10.51 197 5 211 5 49200
21957.0 0.72461 0.725 1.0 0.021 -0.635 41.21 2.57 0.855 106.458851566 7.28280596773 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 205.929140902 35.439 0.7246 150.114 2.404 0.726 1.7 2.3 10.34 179 20 188 21 49200
22801.0 0.72633 0.726 1.0 0.007 -0.396 45.86 2.97 0.913 77.3258878662 5.46245503467 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 195.444586512 15.096 0.7263 150.091 2.413 0.727 3.0 3.2 10.17 86 10 88 10 49200
23079.0 0.83859 0.84 1.0 0.136 0.406 0.0 0.0 0.927 0.0 0.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 362.907200819 2.2669 0.8386 150.124 2.416 0.842 1.4 2.0 10.75 166 17 178 18 49200
24367.0 0.88985 0.89 1.0 0.112 0.036 0.0 0.0 0.898 0.0 0.0264571262269 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 162.019753734 0.68098 0.8899 150.098 2.431 0.892 2.1 4.7 10.52 165 14 172 15 49200
24609.0 0.67615 0.677 1.0 0.065 -0.399 0.0 0.0 0.851 0.0 0.0715926378904 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 166.909880331 0.30695 0.6762 150.128 2.433 0.672 1.4 6.0 10.06 187 9 199 10 49200
24887.0 0.74456 0.751 1.0 -0.002 -0.388 0.01 0.15 0.926 0.0114642087403 0.664924106938 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 467.03696397 2.4396 0.7446 150.106 2.439 0.75 1.4 1.8 10.56 199 9 212 10 49200
25458.0 0.88608 0.9 1.0 0.063 -0.091 10.73 2.9 0.928 9.3898456057 2.44952494062 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 288.87259021 3.514 0.8861 150.142 2.446 0.898 3.9 5.2 10.93 210 9 210 9 49200
25969.0 0.89743 0.895 1.0 -0.044 0.328 8.7 2.6 1.086 13.0492297476 3.71555208888 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 210.826508835 3.4004 0.8974 150.151 2.451 0.895 3.1 3.8 10.86 237 22 241 22 49200
902.0 -99.0 0.427 -1.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 1019.98198916 3.3084 0.4187 150.095 2.194 0.426 3.0 3.2 10.97 212 4 211 4 49200
15838.0 0.64214 0.645 1.0 0.081 -0.381 65.5 16.91 0.835 47.4380990659 12.1061541647 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 304.740475284 7.825 0.6421 34.387 -5.225 0.645 3.6 2.5 10.83 171 7 171 7 27600
15857.0 0.6479 0.647 1.0 0.033 -0.104 29.01 7.38 0.942 12.2337520481 3.10091631774 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 893.094286508 2.6293 0.6479 34.397 -5.225 0.648 2.7 3.6 10.84 233 6 237 6 27600
18070.0 0.6405 0.646 1.0 -0.01 -0.342 0.07 0.38 0.923 0.0670527278269 1.0667479427 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 407.042193454 -99.0 0.6405 34.412 -5.218 0.646 2.2 3.9 10.7 237 8 244 9 27600
18619.0 0.6446 0.649 1.0 -0.041 -0.327 9.94 24.09 0.957 4.95561230694 5.45421379059 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 532.974625521 -99.0 0.6446 34.371 -5.217 0.648 3.2 2.8 10.83 236 7 237 7 27600
19166.0 0.63886 0.64 1.0 -0.044 -0.485 0.0 0.0 0.919 0.0 15.9257044531 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 196.414320458 -99.0 0.6389 34.378 -5.214 0.64 1.1 3.8 10.2 166 9 179 10 27600
22928.0 0.92322 0.923 1.0 0.021 -0.201 11.62 1.28 0.959 23.8194278346 2.69339961107 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 1.0 213.284974356 7.7646 0.9232 34.368 -5.201 0.923 1.9 3.8 10.45 133 15 139 16 27600
22864.0 0.63804 0.644 0.0 0.075 -0.493 0.0 0.0 0.815 0.0 0.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 263.158886434 3.4311 0.638 34.258 -5.201 0.644 1.9 1.5 10.1 138 14 144 15 27600
22860.0 0.68961 0.693 1.0 -0.129 -0.474 0.01 0.31 1.019 0.00591852557691 1.384934985 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 331.060170488 2.4608 0.6896 34.39 -5.201 0.694 2.9 5.6 10.88 214 6 217 6 27600
27474.0 0.79409 0.65 0.0 -0.079 -0.534 0.0 0.02 0.987 0.00557385638402 0.117050984064 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 372.714132125 1.4121 0.7941 34.337 -5.186 0.65 0.6 3.4 10.36 197 11 221 12 27600
28041.0 0.49406 0.496 1.0 -0.044 -0.222 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 428.915318528 0.48281 0.4941 34.401 -5.184 0.496 1.1 4.1 10.13 185 10 198 11 27600
29145.0 0.8076 0.67 1.0 0.046 -0.352 0.2 1.03 0.901 0.287674264218 1.68732020358 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 241.580539534 9.6361 0.8076 34.312 -5.18 0.669 2.9 2.9 10.41 137 18 138 18 27600
29107.0 0.82212 0.821 1.0 -0.04 -0.177 0.01 0.15 1.012 0.0493930147301 1.69582683907 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 231.522747806 -99.0 0.8221 34.233 -5.179 0.82 0.6 1.9 10.07 152 18 172 20 27600
30815.0 0.62824 0.627 0.0 -0.097 -0.578 0.0 0.0 0.943 0.0 0.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 314.598200585 -99.0 0.6282 34.245 -5.175 0.627 2.0 5.2 10.37 139 5 144 5 27600
30671.0 0.91842 0.918 1.0 0.059 -0.331 7.23 1.04 0.91 19.6307377946 2.83045422796 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 216.493249742 3.7161 0.9184 34.274 -5.175 0.912 1.0 5.2 10.31 197 16 215 18 27600
31083.0 0.56596 0.43 0.0 -0.101 -0.384 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 887.074483648 3.2334 0.566 34.329 -5.175 0.43 1.7 2.6 10.56 179 4 184 4 27600
30359.0 0.6603 0.67 1.0 -0.002 -0.519 81.37 8.89 0.88 27.2721797266 2.98138890562 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 525.902065836 24.405 0.6603 34.344 -5.174 0.669 3.9 3.6 10.85 130 7 129 7 27600
32492.0 0.43405 0.432 1.0 -0.083 -0.207 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 463.17152271 0.93973 0.434 34.395 -5.17 0.432 1.6 4.2 10.39 171 9 177 10 27600
32850.0 0.23183 0.429 0.0 0.111 0.223 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 220.808006334 0.060834 0.2318 34.256 -5.168 0.429 1.0 4.6 10.0 125 9 133 10 27600
33076.0 0.86638 0.821 1.0 0.112 -0.205 8.66 4.52 0.87 8.61025085995 4.06133799119 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 2.0 296.298139175 18.069 0.8664 34.239 -5.168 0.821 3.3 2.2 10.89 238 18 240 18 27600
37899.0 0.6364 0.496 0.0 -0.094 -0.531 10.26 112.13 0.954 4.17379613786 13.33414813 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 491.0736139 4.8967 0.6364 34.374 -5.148 0.496 3.0 4.1 10.61 193 6 193 6 27600
37852.0 0.3607 0.629 0.0 0.157 -0.406 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 3.0 411.808179488 -99.0 0.3607 34.296 -5.151 0.629 1.9 4.6 10.61 205 6 213 7 27600
